from_type,from_name,relation_type,to_type,to_name
Room,B01-F03-R311,Contains,Device,b01-f03-r311
Room,B01-F03-R312,Contains,Device,b01-f03-r312
Room,B01-F03-R313,Contains,Device,b01-f03-r313
Room,B01-F03-R314,Contains,Device,b01-f03-r314
Room,B01-F03-R315,Contains,Device,b01-f03-r315
Room,B01-F03-R316,Contains,Device,b01-f03-r316
Room,B01-F03-R317,Contains,Device,b01-f03-r317
Room,B01-F03-R318,Contains,Device,b01-f03-r318
Room,B01-F03-R319,Contains,Device,b01-f03-r319
Room,B01-F03-R320,Contains,Device,b01-f03-r320
Room,B01-F04-R401,Contains,Device,b01-f04-r401
Room,B01-F04-R402,Contains,Device,b01-f04-r402
Room,B01-F04-R403,Contains,Device,b01-f04-r403
Room,B01-F04-R404,Contains,Device,b01-f04-r404
Room,B01-F04-R405,Contains,Device,b01-f04-r405
Room,B01-F04-R406,Contains,Device,b01-f04-r406
Room,B01-F04-R407,Contains,Device,b01-f04-r407
Room,B01-F04-R408,Contains,Device,b01-f04-r408
Room,B01-F04-R409,Contains,Device,b01-f04-r409
Room,B01-F04-R410,Contains,Device,b01-f04-r410
Room,B01-F04-R411,Contains,Device,b01-f04-r411
Room,B01-F04-R412,Contains,Device,b01-f04-r412
Room,B01-F04-R413,Contains,Device,b01-f04-r413
Room,B01-F04-R414,Contains,Device,b01-f04-r414
Room,B01-F04-R415,Contains,Device,b01-f04-r415
Room,B01-F04-R416,Contains,Device,b01-f04-r416
Room,B01-F04-R417,Contains,Device,b01-f04-r417
Room,B01-F04-R418,Contains,Device,b01-f04-r418
Room,B01-F04-R419,Contains,Device,b01-f04-r419
Room,B01-F04-R420,Contains,Device,b01-f04-r420
Room,B01-F05-R501,Contains,Device,b01-f05-r501
Room,B01-F05-R502,Contains,Device,b01-f05-r502
Room,B01-F05-R503,Contains,Device,b01-f05-r503
Room,B01-F05-R504,Contains,Device,b01-f05-r504
Room,B01-F05-R505,Contains,Device,b01-f05-r505
Room,B01-F05-R506,Contains,Device,b01-f05-r506
Room,B01-F05-R507,Contains,Device,b01-f05-r507
Room,B01-F05-R508,Contains,Device,b01-f05-r508
Room,B01-F05-R509,Contains,Device,b01-f05-r509
Room,B01-F05-R510,Contains,Device,b01-f05-r510
Room,B01-F05-R511,Contains,Device,b01-f05-r511
Room,B01-F05-R512,Contains,Device,b01-f05-r512
Room,B01-F05-R513,Contains,Device,b01-f05-r513
Room,B01-F05-R514,Contains,Device,b01-f05-r514
Room,B01-F05-R515,Contains,Device,b01-f05-r515
Room,B01-F05-R516,Contains,Device,b01-f05-r516
Room,B01-F05-R517,Contains,Device,b01-f05-r517
Room,B01-F05-R518,Contains,Device,b01-f05-r518
Room,B01-F05-R519,Contains,Device,b01-f05-r519
Room,B01-F05-R520,Contains,Device,b01-f05-r520
Room,B01-F06-R601,Contains,Device,b01-f06-r601
Room,B01-F06-R602,Contains,Device,b01-f06-r602
Room,B01-F06-R603,Contains,Device,b01-f06-r603
Room,B01-F06-R604,Contains,Device,b01-f06-r604
Room,B01-F06-R605,Contains,Device,b01-f06-r605
Room,B01-F06-R606,Contains,Device,b01-f06-r606
Room,B01-F06-R607,Contains,Device,b01-f06-r607
Room,B01-F06-R608,Contains,Device,b01-f06-r608
Room,B01-F06-R609,Contains,Device,b01-f06-r609
Room,B01-F06-R610,Contains,Device,b01-f06-r610
Room,B01-F06-R611,Contains,Device,b01-f06-r611
Room,B01-F06-R612,Contains,Device,b01-f06-r612
Room,B01-F06-R613,Contains,Device,b01-f06-r613
Room,B01-F06-R614,Contains,Device,b01-f06-r614
Room,B01-F06-R615,Contains,Device,b01-f06-r615
Room,B01-F06-R616,Contains,Device,b01-f06-r616
Room,B01-F06-R617,Contains,Device,b01-f06-r617
Room,B01-F06-R618,Contains,Device,b01-f06-r618
Room,B01-F06-R619,Contains,Device,b01-f06-r619
Room,B01-F06-R620,Contains,Device,b01-f06-r620
Room,B01-F07-R701,Contains,Device,b01-f07-r701
Room,B01-F07-R702,Contains,Device,b01-f07-r702
Room,B01-F07-R703,Contains,Device,b01-f07-r703
Room,B01-F07-R704,Contains,Device,b01-f07-r704
Room,B01-F07-R705,Contains,Device,b01-f07-r705
Room,B01-F07-R706,Contains,Device,b01-f07-r706
Room,B01-F07-R707,Contains,Device,b01-f07-r707
Room,B01-F07-R708,Contains,Device,b01-f07-r708
Room,B01-F07-R709,Contains,Device,b01-f07-r709
Room,B01-F07-R710,Contains,Device,b01-f07-r710
Room,B01-F07-R711,Contains,Device,b01-f07-r711
Room,B01-F07-R712,Contains,Device,b01-f07-r712
Room,B01-F07-R713,Contains,Device,b01-f07-r713
Room,B01-F07-R714,Contains,Device,b01-f07-r714
Room,B01-F07-R715,Contains,Device,b01-f07-r715
Room,B01-F07-R716,Contains,Device,b01-f07-r716
Room,B01-F07-R717,Contains,Device,b01-f07-r717
Room,B01-F07-R718,Contains,Device,b01-f07-r718
Room,B01-F07-R719,Contains,Device,b01-f07-r719
Room,B01-F07-R720,Contains,Device,b01-f07-r720
Room,B01-F08-R801,Contains,Device,b01-f08-r801
Room,B01-F08-R802,Contains,Device,b01-f08-r802
Room,B01-F08-R803,Contains,Device,b01-f08-r803
Room,B01-F08-R804,Contains,Device,b01-f08-r804
Room,B01-F08-R805,Contains,Device,b01-f08-r805
Room,B01-F08-R806,Contains,Device,b01-f08-r806
Room,B01-F08-R807,Contains,Device,b01-f08-r807
Room,B01-F08-R808,Contains,Device,b01-f08-r808
Room,B01-F08-R809,Contains,Device,b01-f08-r809
Room,B01-F08-R810,Contains,Device,b01-f08-r810
Room,B01-F08-R811,Contains,Device,b01-f08-r811
Room,B01-F08-R812,Contains,Device,b01-f08-r812
Room,B01-F08-R813,Contains,Device,b01-f08-r813
Room,B01-F08-R814,Contains,Device,b01-f08-r814
Room,B01-F08-R815,Contains,Device,b01-f08-r815
Room,B01-F08-R816,Contains,Device,b01-f08-r816
Room,B01-F08-R817,Contains,Device,b01-f08-r817
Room,B01-F08-R818,Contains,Device,b01-f08-r818
Room,B01-F08-R819,Contains,Device,b01-f08-r819
Room,B01-F08-R820,Contains,Device,b01-f08-r820
Room,B01-F09-R901,Contains,Device,b01-f09-r901
Room,B01-F09-R902,Contains,Device,b01-f09-r902
Room,B01-F09-R903,Contains,Device,b01-f09-r903
Room,B01-F09-R904,Contains,Device,b01-f09-r904
Room,B01-F09-R905,Contains,Device,b01-f09-r905
Room,B01-F09-R906,Contains,Device,b01-f09-r906
Room,B01-F09-R907,Contains,Device,b01-f09-r907
Room,B01-F09-R908,Contains,Device,b01-f09-r908
Room,B01-F09-R909,Contains,Device,b01-f09-r909
Room,B01-F09-R910,Contains,Device,b01-f09-r910
Room,B01-F09-R911,Contains,Device,b01-f09-r911
Room,B01-F09-R912,Contains,Device,b01-f09-r912
Room,B01-F09-R913,Contains,Device,b01-f09-r913
Room,B01-F09-R914,Contains,Device,b01-f09-r914
Room,B01-F09-R915,Contains,Device,b01-f09-r915
Room,B01-F09-R916,Contains,Device,b01-f09-r916
Room,B01-F09-R917,Contains,Device,b01-f09-r917
Room,B01-F09-R918,Contains,Device,b01-f09-r918
Room,B01-F09-R919,Contains,Device,b01-f09-r919
Room,B01-F09-R920,Contains,Device,b01-f09-r920
Room,B01-F10-R1001,Contains,Device,b01-f10-r1001
Room,B01-F10-R1002,Contains,Device,b01-f10-r1002
Room,B01-F10-R1003,Contains,Device,b01-f10-r1003
Room,B01-F10-R1004,Contains,Device,b01-f10-r1004
Room,B01-F10-R1005,Contains,Device,b01-f10-r1005
Room,B01-F10-R1006,Contains,Device,b01-f10-r1006
Room,B01-F10-R1007,Contains,Device,b01-f10-r1007
Room,B01-F10-R1008,Contains,Device,b01-f10-r1008
Room,B01-F10-R1009,Contains,Device,b01-f10-r1009
Room,B01-F10-R1010,Contains,Device,b01-f10-r1010
Room,B01-F10-R1011,Contains,Device,b01-f10-r1011
Room,B01-F10-R1012,Contains,Device,b01-f10-r1012
Room,B01-F10-R1013,Contains,Device,b01-f10-r1013
Room,B01-F10-R1014,Contains,Device,b01-f10-r1014
Room,B01-F10-R1015,Contains,Device,b01-f10-r1015
Room,B01-F10-R1016,Contains,Device,b01-f10-r1016
Room,B01-F10-R1017,Contains,Device,b01-f10-r1017
Room,B01-F10-R1018,Contains,Device,b01-f10-r1018
Room,B01-F10-R1019,Contains,Device,b01-f10-r1019
Room,B01-F10-R1020,Contains,Device,b01-f10-r1020
